BestSquatKg,BestBenchKg
140.0,107.5
117.5,45.0
174.63,115.67
147.5,130.0
195.0,132.5
92.5,42.5
,
160.0,120.0
262.5,142.5
102.5,62.5
244.94,131.54
,55.0
,60.0
190.0,
82.5,50.0
165.0,90.0
140.0,100.0
158.76,95.25
263.08,
217.72,174.63
230.0,147.5
,
192.78,104.33
137.5,92.5
180.0,115.0
175.0,97.5
222.5,117.5
285.0,220.0
115.67,72.57
135.0,90.0
165.56,90.72
,
107.5,62.5
182.5,117.5
130.0,52.5
352.5,185.0
204.12,83.91
77.5,37.5
,
65.0,115.0
100.0,55.0
242.5,197.5
,
70.0,45.0
220.0,
130.0,120.0
242.5,162.5
,77.5
,107.5
90.0,42.5
,
226.8,138.35
97.5,52.5
290.0,200.0
,56.7
282.5,177.5
,270.0
,55.0
,
331.12,206.38
,42.5
347.0,224.53
65.77,36.29
255.0,167.5
176.9,106.59
,182.5
,
220.0,137.5
,237.5
135.0,125.0
265.0,175.0
82.5,40.0
,145.0
200.0,147.5
130.0,77.5
72.5,35.0
,160.0
102.06,47.63
136.08,92.99
79.38,38.56
195.04,120.2
217.72,127.01
125.0,82.5
,200.0
172.5,125.0
127.5,80.0
205.0,160.0
,122.5
100.0,70.0
205.0,185.0
170.1,127.01
330.0,175.0
162.5,112.5
155.0,112.5
340.0,205.0
215.46,149.69
110.0,50.0
220.0,110.0
263.08,195.04
122.5,52.5
154.22,131.54
192.5,165.0
274.42,195.04
,
174.63,102.06
137.5,87.5
,77.5
222.26,
95.0,50.0
,147.5
108.86,52.16
,230.0
99.79,77.11
,165.0
,92.5
421.84,
122.47,
40.0,32.5
,113.4
,72.5
,227.5
294.84,170.1
176.9,102.06
130.0,155.0
106.59,77.11
86.18,54.43
255.0,167.5
307.5,175.0
215.0,132.5
242.5,170.0
,67.47
207.5,122.5
,
272.16,158.76
82.5,45.0
,251.74
252.5,192.5
167.83,74.84
185.0,130.0
195.0,132.5
212.5,172.5
83.91,83.91
,105.0
215.46,127.01
,197.5
120.0,75.0
237.5,
92.5,42.5
,65.0
105.0,55.0
,
,150.0
208.65,145.15
315.0,190.0
,135.0
117.5,80.0
,85.0
150.0,117.5
,
269.89,197.31
70.31,43.09
160.0,135.0
125.0,65.0
225.0,152.5
205.0,147.5
95.3,72.6
67.5,42.5
132.5,62.5
250.0,147.5
180.0,157.5
190.51,92.99
155.0,165.0
155.0,122.5
210.0,120.0
-317.5,
,132.5
115.0,70.0
251.74,138.35
192.5,110.0
,202.5
,
167.5,97.5
215.46,
,
172.37,104.33
192.78,158.76
,197.5
161.03,83.91
170.0,125.0
176.9,111.13
181.44,99.79
207.5,115.0
97.5,60.0
142.88,
102.5,57.5
,60.0
185.0,107.5
210.0,160.0
83.91,52.16
263.1,145.2
,226.8
235.0,160.0
,165.56
247.5,137.5
,157.5
225.0,167.5
,225.66
,158.76
272.5,240.0
,136.08
,
195.04,106.59
227.5,165.0
212.5,185.0
147.5,127.5
67.5,47.5
,165.0
282.5,212.5
147.5,82.5
194.0,145.0
155.0,145.0
115.67,63.5
500.0,220.0
340.19,224.53
110.0,72.5
117.5,75.0
288.03,176.9
125.0,75.0
175.0,120.0
240.0,155.0
165.0,120.0
160.0,115.0
206.38,102.06
185.97,113.4
212.5,155.0
,
206.38,124.74
,127.5
,165.0
,140.0
55.0,42.5
195.0,135.0
124.74,79.38
111.13,58.97
142.88,92.99
165.56,92.99
,225.0
181.44,90.72
,140.0
125.0,105.0
176.9,92.99
177.5,102.5
100.0,50.0
111.13,79.38
136.08,113.4
151.95,
102.5,60.0
212.5,115.0
,115.0
238.14,99.79
,
252.5,155.0
294.84,188.24
165.0,87.5
156.49,97.52
,70.0
230.0,117.5
125.0,113.0
,
80.0,42.5
170.0,115.0
160.0,87.5
120.0,77.5
217.72,124.74
,165.0
75.0,27.5
