BestSquatKg,BestBenchKg
129.27,129.27
182.5,147.5
120.0,60.0
140.0,100.0
107.5,45.0
100.0,47.5
350.0,217.5
110.0,60.0
70.0,27.5
105.0,52.5
285.0,182.5
138.35,74.84
217.7,111.1
225.0,180.0
117.93,52.16
150.0,80.0
175.0,75.0
137.5,102.5
155.0,155.0
120.2,58.97
120.0,97.5
155.0,95.0
252.5,165.0
152.5,112.5
111.13,58.97
122.5,62.5
92.5,70.0
230.0,162.5
95.0,67.5
190.0,145.0
200.0,142.5
278.96,192.78
207.5,100.0
232.5,140.0
142.5,105.0
145.0,85.0
150.0,122.5
167.83,77.11
120.2,63.5
238.14,142.88
210.0,165.0
301.0,195.5
167.5,97.5
160.0,80.0
367.5,140.0
79.38,56.7
205.0,140.0
177.5,120.0
140.61,81.65
200.0,130.0
235.0,140.0
145.0,72.5
140.0,77.5
176.9,113.4
113.4,68.04
212.5,137.5
125.0,92.5
175.0,125.0
107.5,65.0
150.0,82.5
129.27,70.31
110.0,62.5
235.0,135.0
188.24,127.01
167.5,115.0
150.0,150.0
145.0,97.5
136.08,83.91
175.0,105.0
100.0,65.0
127.01,61.23
287.5,197.5
131.54,86.18
226.8,136.08
220.0,105.0
265.0,132.5
125.0,85.0
240.0,137.5
86.18,63.5
142.5,120.0
285.0,170.0
37.42,23.81
142.5,70.0
257.5,157.5
120.0,75.0
137.5,85.0
120.0,72.5
90.72,54.43
227.5,137.5
240.0,120.0
185.0,127.5
105.0,65.0
165.56,138.35
107.5,55.0
185.0,135.0
124.74,72.57
115.0,70.0
175.0,135.0
307.5,200.0
81.65,47.63
192.5,127.5
157.5,92.5
344.73,213.19
151.95,111.13
190.0,112.5
227.5,115.0
242.5,162.5
105.0,87.5
157.5,135.0
122.5,70.0
174.63,90.72
160.0,80.0
240.0,145.0
351.53,215.46
162.5,100.0
137.5,95.0
225.0,137.5
227.5,150.0
230.0,132.5
215.0,147.5
118.0,57.5
158.76,86.18
177.5,115.0
177.5,75.0
138.35,95.25
177.5,137.5
325.0,232.5
200.0,122.5
142.5,112.5
210.0,115.0
180.0,195.0
142.88,99.79
225.0,142.5
180.0,137.5
152.5,70.0
70.0,42.5
127.5,67.5
274.42,122.47
115.67,68.04
125.0,135.0
110.0,60.0
147.42,117.93
147.42,117.93
190.0,120.0
195.0,140.0
125.0,82.5
160.0,95.0
190.0,127.5
165.0,120.0
155.0,105.0
157.5,100.0
195.0,125.0
192.5,122.5
210.0,140.0
108.86,58.97
260.82,165.56
112.5,65.0
165.0,70.0
127.5,75.0
180.0,120.0
240.4,158.76
190.0,140.0
110.0,55.0
197.5,127.5
250.0,132.5
227.5,150.0
163.29,99.79
192.5,125.0
405.0,352.5
251.74,176.9
226.8,108.86
104.33,68.04
420.0,280.0
235.0,132.5
97.5,52.5
226.8,158.76
263.08,199.58
205.0,147.5
237.5,142.5
167.5,102.5
150.0,97.5
272.16,179.17
143.5,70.0
137.5,85.0
176.9,81.65
240.0,140.0
137.5,70.0
222.5,172.5
149.69,102.06
340.0,205.0
117.93,72.57
187.5,105.0
227.5,165.0
170.0,105.0
245.0,200.0
247.5,140.0
231.33,156.49
190.0,160.0
217.5,107.5
172.5,125.0
190.0,147.5
145.0,130.0
110.0,57.5
225.0,145.0
137.5,88.5
90.0,50.0
190.0,125.0
161.03,111.13
147.5,87.5
110.0,55.0
115.0,67.5
124.74,88.45
197.31,138.35
85.0,67.5
197.31,117.93
177.5,80.0
170.1,102.06
85.0,47.5
92.5,55.0
226.8,154.22
238.14,124.74
233.6,170.1
227.5,237.5
127.01,74.84
230.0,127.5
262.5,162.5
218.18,110.68
220.0,132.5
183.7,68.04
70.0,80.0
167.5,147.5
105.0,55.0
325.0,197.5
236.0,162.5
200.0,125.0
125.0,87.5
95.0,50.0
210.0,172.5
262.5,235.0
127.5,70.0
170.1,86.18
180.0,120.0
102.5,65.0
142.5,82.5
110.0,67.5
52.5,52.5
83.91,45.36
142.88,79.38
257.5,157.5
250.0,167.5
158.76,102.06
182.5,125.0
115.0,50.0
230.0,152.5
136.08,81.65
60.0,32.5
220.0,170.0
163.29,95.25
320.0,180.0
175.0,120.0
263.08,176.9
170.0,82.5
185.0,130.0
75.0,50.0
249.48,170.1
215.0,117.5
102.1,90.7
208.65,106.59
115.0,80.0
215.0,137.5
172.5,132.5
99.79,58.97
110.0,75.0
355.0,265.0
124.74,74.84
97.5,50.0
206.38,142.88
122.47,65.77
111.13,63.5
136.08,95.25
200.0,120.0
240.0,187.5
220.0,150.0
125.0,105.0
207.5,137.5
137.5,85.0
245.0,192.5
212.5,115.0
110.0,55.0
353.8,206.38
208.65,111.13
175.0,125.0
235.0,145.0
200.0,122.5
265.0,220.0
265.0,200.0
61.3,34.0
122.5,85.0
192.78,122.47
115.0,65.0
137.5,65.0
115.67,56.7
167.83,90.72
230.0,140.0
122.47,63.5
110.0,50.0
210.0,125.0
217.5,120.0
135.0,105.0
215.46,136.08
195.0,110.0
150.0,107.5
122.47,74.84
95.0,55.0
340.0,165.0
102.5,42.5
270.0,160.0
277.5,190.0
265.0,205.0
210.92,154.22
95.0,60.0
257.5,180.0
197.5,132.5
62.5,47.5
110.0,97.5
238.14,117.93
125.0,55.0
290.0,150.0
115.0,57.5
235.0,112.5
85.0,47.5
175.0,110.0
172.37,106.59
207.5,155.0
282.5,192.5
112.5,92.5
207.5,125.0
470.0,300.0
149.69,97.52
107.5,62.6
190.51,111.13
172.5,110.0
142.88,99.79
240.4,142.88
155.0,72.5
