BestSquatKg,BestDeadliftKg
147.42,165.56
115.0,165.0
247.21,229.06
210.0,217.5
204.12,199.58
222.5,242.5
162.5,210.0
157.5,227.5
235.0,272.5
185.0,220.0
142.88,158.76
137.5,207.5
158.76,176.9
105.0,152.5
145.0,202.5
265.0,250.0
183.7,226.8
215.0,225.0
142.5,205.0
136.08,167.83
220.0,237.5
127.01,181.44
102.5,130.0
175.0,175.0
260.82,238.14
140.0,165.0
60.0,172.5
215.46,181.44
272.5,262.5
205.0,212.5
206.38,158.76
111.13,127.01
160.0,220.0
162.5,205.0
149.69,147.42
195.0,250.0
150.0,167.5
275.0,307.5
227.5,227.5
130.0,147.5
185.0,205.0
214.89,214.89
227.5,260.0
250.0,250.0
87.5,115.0
142.88,151.95
365.0,320.0
167.83,158.76
150.0,185.0
117.5,142.5
131.54,136.08
165.0,177.5
154.22,163.29
147.5,130.0
227.5,237.5
115.0,130.0
185.0,205.0
158.76,188.24
227.5,210.0
150.0,172.5
240.0,265.0
120.2,151.95
85.0,90.0
142.88,183.7
125.0,160.0
158.76,158.76
200.0,235.0
154.22,183.7
272.5,295.0
95.0,122.5
188.24,215.46
215.0,272.5
97.52,127.01
80.0,117.5
225.0,287.5
185.0,240.0
97.5,110.0
254.01,208.65
140.0,147.5
344.73,229.06
147.5,150.0
405.0,320.0
177.5,205.0
260.5,270.0
150.0,170.0
260.0,247.5
257.5,242.5
182.5,205.0
155.0,197.5
120.0,175.0
247.5,290.0
195.04,199.58
137.5,172.5
158.76,183.7
185.0,197.5
195.0,242.5
138.35,226.8
183.7,183.7
140.61,167.83
165.0,205.0
